Predicted: 233, Label: 0, Same: False
Predicted: 228, Label: 0, Same: False
Predicted: 114, Label: 0, Same: False
Predicted: 233, Label: 0, Same: False
Predicted: 233, Label: 0, Same: False
Predicted: 233, Label: 0, Same: False
Predicted: 296, Label: 1, Same: False
Predicted: 296, Label: 1, Same: False
Predicted: 296, Label: 1, Same: False
Predicted: 296, Label: 1, Same: False
Predicted: 724, Label: 1, Same: False
Predicted: 609, Label: 2, Same: False
Predicted: 306, Label: 2, Same: False
Predicted: 480, Label: 2, Same: False
Predicted: 480, Label: 2, Same: False
Predicted: 480, Label: 2, Same: False
Predicted: 406, Label: 3, Same: False
Predicted: 659, Label: 3, Same: False
Predicted: 390, Label: 3, Same: False
Predicted: 308, Label: 3, Same: False
Predicted: 406, Label: 3, Same: False
Predicted: 406, Label: 3, Same: False
Predicted: 317, Label: 4, Same: False
Predicted: 120, Label: 4, Same: False
Predicted: 627, Label: 4, Same: False
Predicted: 120, Label: 4, Same: False
Predicted: 336, Label: 4, Same: False
Predicted: 114, Label: 5, Same: False
Predicted: 92, Label: 5, Same: False
Predicted: 408, Label: 5, Same: False
Predicted: 121, Label: 6, Same: False
Predicted: 119, Label: 6, Same: False
Predicted: 45, Label: 6, Same: False
Predicted: 51, Label: 7, Same: False
Predicted: 160, Label: 7, Same: False
Predicted: 337, Label: 8, Same: False
Predicted: 62, Label: 8, Same: False
Predicted: 59, Label: 8, Same: False
Predicted: 30, Label: 9, Same: False
Predicted: 726, Label: 9, Same: False
Predicted: 30, Label: 9, Same: False
Predicted: 706, Label: 9, Same: False
Predicted: 30, Label: 9, Same: False
Predicted: 478, Label: 9, Same: False
Predicted: 122, Label: 10, Same: False
Predicted: 305, Label: 10, Same: False
Predicted: 317, Label: 10, Same: False
Predicted: 74, Label: 10, Same: False
Predicted: 219, Label: 10, Same: False
Predicted: 315, Label: 11, Same: False
Predicted: 381, Label: 11, Same: False
Predicted: 143, Label: 11, Same: False
Predicted: 126, Label: 12, Same: False
Predicted: 30, Label: 12, Same: False
Predicted: 126, Label: 12, Same: False
Predicted: 39, Label: 12, Same: False
Predicted: 126, Label: 12, Same: False
Predicted: 601, Label: 13, Same: False
